,nombre,latitud,longitud,ciudad,distancia,tipo
31,LA CANTINA Pop-up Bar,41.384532,2.162118,Barcelona,3474.0,Pop-Up Shop
32,Custo Pop Up Store,41.39056897096396,2.168281034621701,Barcelona,2702.0,Cosmetics Shop
33,Eat Up,41.389156,2.1613832,Barcelona,3292.0,Leather Goods Store
34,Peix-Up (CrisolArt),41.38243773883383,2.160658979529444,Barcelona,3702.0,Accessories Store
35,Pop Up Store 11degrees,41.375462,2.182918,Barcelona,3076.0,Pop-Up Shop
36,What's Up! Berlín,41.38252308289981,2.1376140278897133,Barcelona,5409.0,Language School
0,,,,,,Pharmacy
0,Bar Llacuna,41.402642122400934,2.197268307209015,Barcelona,207.0,Diner
1,Bar Julián,41.402671272723424,2.1968844566119414,Barcelona,217.0,Spanish Restaurant
2,Bar Mijares,41.399205572990006,2.194661519804786,Barcelona,304.0,Breakfast Spot
3,Bar Manolo,41.398640768620425,2.195516113185779,Barcelona,298.0,Food
4,Bar Marvi,41.40202016284776,2.2011097787208915,Barcelona,320.0,Mediterranean Restaurant
5,Bar Restaurante Romero,41.403481538435116,2.196154668250114,Barcelona,322.0,Restaurant
6,Bar IL3-UB Institut,41.402438272173576,2.1924312866435764,Barcelona,470.0,College Cafeteria
7,Mokaï Beach Bar,41.39083246523128,2.2023187658350833,Barcelona,1176.0,Beach Bar
8,Cafeteria Bar BAU,41.397518800209625,2.1962607655923034,Barcelona,382.0,Café
9,Com Tú Bar,41.39901577165734,2.1948302649447897,Barcelona,306.0,Bar
10,Bar Capicua Poblenou,41.402951950085175,2.2046470642089844,Barcelona,632.0,Hotel Bar
11,Bar Restaurante Carme,41.39482119128682,2.1938254694469665,Barcelona,737.0,Tapas Restaurant
12,Bar Restaurante Moreno,41.39392285337063,2.1925832505024445,Barcelona,873.0,Restaurant
13,Sky Bar,41.40623491402867,2.2006844216183987,Barcelona,656.0,Spanish Restaurant
14,Bar Ceferino,41.3970966298937,2.1916153961376845,Barcelona,649.0,Spanish Restaurant
15,Pop Bar,41.397591452614535,2.191212200015957,Barcelona,644.0,Cocktail Bar
16,Bar Nápoles,41.39372,2.181214,Barcelona,1581.0,Bar
17,Bar Restaurant Cafè Golondrina,41.40789159186298,2.1895342996577205,Barcelona,1039.0,Nightclub
18,Bar Restaurante Gran Vía,41.41151027002165,2.1986013194671656,Barcelona,1195.0,Bar
19,Bar Jaume I - Campus Ciutadella - UPF,41.389856704567606,2.1904005490513305,Barcelona,1359.0,Restaurant
20,Bar Bodega Román,41.41336323972057,2.184499096824715,Barcelona,1777.0,Mediterranean Restaurant
21,Bar Nina,41.409702,2.1892369,Barcelona,1213.0,Café
22,Doce más uno Sport's Bar,41.39146372,2.19804939,Barcelona,1039.0,Restaurant
23,Bar Centro,41.39291821861029,2.1753664509683324,Barcelona,2055.0,Bar
24,Bar Norte,41.39740098222021,2.181606888771057,Barcelona,1390.0,Restaurant
25,Bar Anduriña,41.396026357536,2.182290934956862,Barcelona,1386.0,Café
26,Tizana Juice Bar,41.399846,2.179928,Barcelona,1481.0,Burger Joint
27,Bar del Pla,41.385700510607954,2.18008555820973,Barcelona,2229.0,Café
28,Bar Morryssom,41.39933865837216,2.165199639457001,Barcelona,2712.0,Diner
29,Bar Sauce,41.41151050140259,2.18551166443436,Barcelona,1563.0,Juice Bar
30,Bar Celta Pulpería,41.38668701826183,2.182316333055496,Barcelona,2025.0,Spanish Restaurant
31,Bar Breton,41.400382749885694,2.1801719069480896,Barcelona,1458.0,Café
32,LaBar - Laundry Bar,41.3981615270503,2.1755290031433105,Barcelona,1868.0,Mediterranean Restaurant
33,Mood Rooftop Bar,41.396096,2.162954,Barcelona,2942.0,Snack Place
34,Bar Atlàntida,41.4143832779215,2.1995492443189475,Barcelona,1520.0,Tapas Restaurant
35,Bar Boente,41.397125332822604,2.1791821718215942,Barcelona,1593.0,Bar
36,Chill Bar,41.402302114995486,2.1717631816864014,Barcelona,2166.0,Bar
37,Quiosc-Bar Prim,41.386647696524726,2.187157881417079,Barcelona,1801.0,Hotel Bar
38,El Bar,41.399130276857825,2.1837110818045935,Barcelona,1177.0,Café
39,Bar Lobo,41.38325302798727,2.170433675626059,Barcelona,2995.0,Diner
40,Bar Bodega,41.41401972981396,2.206171083232507,Barcelona,1635.0,Bar
41,Bar Antón,41.4035769314978,2.177707432379813,Barcelona,1691.0,Bar
42,Ocio Bar Monumental,41.398058,2.1809179333333333,Barcelona,1428.0,Snack Place
43,Bar Restaurante Novo,41.41472632767179,2.188185380768852,Barcelona,1739.0,Coffee Shop
0,Starbucks CC Glòries,41.405101777917146,2.1914184045948444,Barcelona,705.0,Cafeteria
1,Starbucks,41.4023121744117,2.173994779586792,Barcelona,1980.0,Coffee Shop
2,Starbucks Vía Laietana,41.385212881187684,2.177009738540203,Barcelona,2444.0,Cafeteria
3,Starbucks Sant Pere,41.38878261751958,2.1720633907608704,Barcelona,2519.0,Cafeteria
4,Starbucks Consel,41.39073404229646,2.1651365170026944,Barcelona,2935.0,Cafeteria
5,Starbucks Rambla Cataluña,41.387953542832165,2.1679005112034084,Barcelona,2865.0,Cafeteria
6,Starbucks Argentería,41.38356136455636,2.181132782745855,Barcelona,2362.0,Cafeteria
7,Starbucks Diagonal 3,41.40967326146267,2.215713323322027,Barcelona,1804.0,Cafeteria
8,Starbucks Pelai,41.38580458944728,2.1678578853607178,Barcelona,2994.0,Cafeteria
9,Starbucks Rambla Canaletas,41.38348531847921,2.1713820474796326,Barcelona,2918.0,Cafeteria
10,Starbucks Plaza Universitat,41.38541870874625,2.163150288025445,Barcelona,3350.0,Cafeteria
11,Starbucks B Hotel (Starbucks),41.376243505662345,2.1507315030599163,Barcelona,4776.0,Cafeteria
12,Starbucks Moll d'Espanya,41.37460653392636,2.182557655378808,Barcelona,3175.0,Cafeteria
13,Starbucks Room Mate Anna,41.39278181321591,2.1656320100589097,Barcelona,2817.0,Cafeteria
14,Starbucks Diagonal 640,41.39106927048871,2.136410046858057,Barcelona,5225.0,Cafeteria
15,Starbucks,41.38641765662956,2.1651495862102075,Barcelona,3149.0,Coffee Shop
16,Starbucks,41.39263077830675,2.143957475482232,Barcelona,4573.0,Coffee Shop
17,Starbucks Diagonal 593,41.388743961461884,2.130627505151918,Barcelona,5753.0,Cafeteria
18,Starbucks Rambla 89,41.384856,2.170487,Barcelona,2878.0,Cafeteria
19,Starbucks La Maquinista,41.439793345953674,2.197619699487752,Barcelona,4340.0,Cafeteria
20,Starbucks,41.38190998967705,2.172113994974859,Barcelona,2993.0,Coffee Shop
21,Starbucks Diagonal 635,41.38701603939547,2.123901844024658,Barcelona,6345.0,Coffee Shop
22,Starbucks,41.395066280471816,2.15812165819131,Barcelona,3360.0,Cafeteria
23,Starbucks,41.38784750930173,2.1696339235092985,Barcelona,2746.0,Coffee Shop
24,Starbucks CC Finestrelles,41.37714,2.098316,Esplugues de Llobregat,8702.0,Coffee Shop
25,Starbucks,41.39459,2.164942,Barcelona,2815.0,Cafeteria
26,Starbucks Gran vía 2,41.35947,2.1300998,Barcelona,7278.0,Coffee Shop
27,Starbucks,41.37281,2.185448,Barcelona,3277.0,Cafeteria
28,Starbucks CC La Roca Village,41.6101064119954,2.3432262132317905,Barcelona,26271.0,Coffee Shop
29,Starbucks,41.4893119034483,2.0304161907888583,V,17081.0,Cafeteria
30,Starbucks,41.29045494737818,2.0739363911728486,El Prat de Llobregat,16054.0,Coffee Shop
31,Starbucks,41.3477107,2.0791238,Cornellá de Llobregat,11529.0,Coffee Shop
32,Starbucks Francesc Maciá,41.392918,2.14387,Barcelona,4574.0,Breakfast Spot
33,Starbucks On The Go,41.39247765,2.13242568,Barcelona,5523.0,Coffee Shop
34,Starbucks On The Go,41.45977961,2.24924337,Badalona,7852.0,Breakfast Spot
35,Starbucks,41.295631,2.050502,Viladecans,16977.0,Coffee Shop
36,Starbucks On The Go,41.4334877,2.07838798,Sant Cugat,10598.0,Cafeteria
37,Starbucks On The Go,41.32801123,2.11397428,Barcelona,10700.0,Café
38,Starbucks On The Go,41.39355164,2.02496579,Molins de Rei,14440.0,Café
39,Starbucks On The Go,41.55843154,2.0244954,Terrassa,22724.0,Coffee Shop
40,Starbucks On The Go,41.59200828,2.34183669,La Roca del Vallès,24446.0,Café
41,KFC,41.39243913101696,2.145102664680606,Barcelona,4483.0,Café
42,Starbucks On The Go,41.63513654,2.33970519,Cardedeu,28648.0,Café
43,Starbucks On The Go,41.23851091,1.82747689,Sitges,35833.0,Café
44,Starbucks On The Go,41.23851091,1.82747689,Sitges,35833.0,Café
