,nombre,latitud,longitud,ciudad,distancia,tipo
19,Up And Away Travel,40.746541718592496,-73.98348215257546,New York,1258,Distribution Center
20,United Parcel Service - UPS Customer Center,40.76180091941051,-73.99807271025585,New York,886,School
21,Bank Street Head Start West,40.757117,-73.993862,New York,331,Gift Shop
22,blue start factory,40.754047,-73.992049,New York,346,Trade School
23,Sharper Image Pop Up Store,40.756219,-73.985953,New York,342,Pop-Up Shop
24,Make Up For Ever,40.73470968625764,-73.99072119277746,New York,2452,Vegetarian / Vegan Restaurant
25,Whalebone Pop-Up,40.73329,-74.0043,New York,2875,Wine Bar
26,"Two Tablespoons, Veggie Pop Up",40.755991,-73.986346,New York,315,Boutique
27,City Winery Pop Up,40.758847,-73.978622,New York,984,Gift Shop
28,Hamilton Pop Up Store,40.759459985291315,-73.98734994671369,New York,375,Miscellaneous Shop
29,squad up bus,40.756324,-73.994965,New York,424,Salon / Barbershop
30,Paul  Frank Pop-Up Shop,40.759639739990234,-73.98697662353516,New York,410,Restaurant
31,Real Simple Pop-Up Shop,40.75379165484874,-73.98367166519165,New York,623,Clothing Store
32,shut up,40.75599,-73.983916,New York,516,Office
33,Step Up Hair Salon,40.752506256103516,-73.98529815673828,New York,612,Men's Store
34,JBF LTD: James Beard Foundation Pop-up,40.74191330545312,-74.00467582464348,New York,2064,Mexican Restaurant
35,"Pop Up Shop, Sip and Style",40.7546501159668,-73.9927978515625,New York,332,Health & Beauty Service
36,Mixed-Up Mosaics,40.752535,-73.992717,New York,521,Café
37,2(X)IST Pop-up Store,40.754135116935096,-73.98712646658963,New York,374,Tech Startup
38,Mexikosher Pop-Up NYC (Pitopia),40.75213365945918,-73.98774862289429,New York,544,Salon / Barbershop
39,Laser Up,40.752586364746094,-73.99175262451172,New York,485,Gift Shop
40,Gevalia Kaffe Pop-Up Store,40.760199,-73.986376,New York,490,Miscellaneous Shop
41,Wicked Start,40.752977,-73.98675673333334,New York,497,BBQ Joint
42,Herbal Essences Pop Up Salon,40.758571,-73.98553,New York,426,Event Space
43,Sanrio Small Gift Pop-Up Tour,40.75129038591325,-73.98803323003932,New York,626,Women's Store
44,Mel's Pop Up Shoe Shine,40.76009727377451,-73.9843258030732,New York,605,Bridal Shop
45,Mainhouse Bbq Pop Up,40.75215530395508,-73.98773193359375,New York,542,Event Space
46,Lean Startup Machine #LsmNYC,40.743485595786325,-73.9842167600201,New York,1551,
47,Zac Posen For Target Pop-up Store,40.752655029296875,-73.99352264404297,New York,544,
48,Thread Bridesmaid Pop-up Shop,40.753117,-73.983854,New York,653,
49,Venus Step Up & Step Out NY Tour Stop,40.758601,-73.984464,New York,508,
0,West Chelsea Veterinary,40.746621,-73.99624589999999,New York,1243,Veterinarian
1,BluePearl Veterinary Partners,40.7667959,-73.9876774,New York,1136,Veterinarian
2,West Village Veterinary Hospital,40.7396051177395,-74.00296437301637,New York,2199,Veterinarian
3,Rivergate Veterinary Clinic,40.74571663342377,-73.97162505008271,New York,1973,Veterinarian
4,Lincoln Square Veterinary,40.775251891741185,-73.98335613410607,New York,2135,Veterinarian
5,Vetcierge Veterinary House Calls,40.77090835571289,-73.98853302001953,New York,1582,Veterinarian
6,First Ave Veterinary Hospital and Dental Clinic,40.734737268371774,-73.9799697719141,New York,2589,Veterinarian
7,Heart Of Chelsea Veterinary Group,40.761943,-73.99260500000001,New York,621,Veterinarian
8,Pure Paws Veterinary Care of Hell's Kitchen,40.7596826,-73.996128,New York,615,Veterinarian
9,Abingdon Square Veterinary Clinic,40.734650042872524,-74.00020147441094,New York,2605,Veterinarian
10,Upper East Veterinary,40.78448127577927,-73.95187233265833,New York,4455,Veterinarian
11,Veterinary Wellness Center Of Boerum Hill,40.683579,-73.982161,New York,8169,Veterinarian
12,Westside Veterinary Center,40.7859906,-73.9774203,New York,3424,Veterinarian
13,BluePearl Veterinary Partners,40.68368503091848,-73.97902247490951,Brooklyn,8183,Veterinarian
14,St. Marks Veterinary Hospital,40.7282413,-73.9855078,New York,3193,Veterinarian
15,Downtown Veterinary Associates,40.72194213879247,-74.04665867122365,Jersey City,6153,Veterinarian
16,Clinton Veterinary Center,40.7644319,-73.98706349999999,New York,891,Veterinarian
17,Veterinary Emergency Group,40.8375746,-74.1532187,Clifton,16440,Veterinarian
18,Greenpoint Veterinary,40.72424775738802,-73.94943467221583,Brooklyn,4975,Veterinarian
19,Veterinary Emergency Group,40.7536019,-74.0294849,Hoboken,3351,Veterinarian
20,Kalvig & Shorter Veterinary Associates,40.74936,-73.97701,New York,1365,Veterinarian
21,Heights Veterinary Associates,40.74849486,-74.0554712,Jersey City,5599,Veterinarian
22,Small Door Veterinary,40.7366084,-74.0004949,New York,2409,Veterinarian
23,Columbus Circle Veterinary,40.76940578795823,-73.98462457797842,New York,1481,Veterinarian
24,Veterinary Care Unlimited,40.683790117639646,-73.85608195031452,Ozone Park,13910,Pet Service
