,nombre,latitud,longitud,ciudad,distancia,tipo
36,It Style Make Up Madrid,40.41761298963356,-3.622312545776367,Madrid,10280,Cosmetics Shop
37,"Pop up ""lamasmona.com""",40.42468327088853,-3.6771176901107148,Madrid,8646,Pizza Place
38,Pin Up Comunicación,40.42906828511809,-3.7027936367599175,Madrid,8577,Gourmet Shop
39,Wake Up Languages,40.42387390136719,-3.668095111846924,Madrid,8724,Flea Market
0,A.A.H Veterinary Services,40.434168,-3.802389,Pozuelo de Alarcón,13463,Veterinarian
0,Bar Restaurante Anfra,40.50068111583438,-3.6906401504500015,Madrid,1673,Bar
1,Küken Bar-Café,40.50722374496063,-3.695237620121373,Madrid,2128,Fried Chicken Joint
2,Ôven Mozzarella Bar Las tablas,40.50450338128552,-3.674812950056463,Madrid,412,Italian Restaurant
3,Bar Cerveceria Soccer- Sports Bar,40.476970355432975,-3.669048600553827,Madrid,2815,Sports Bar
4,"Restaurante El Centro, Bar El Colega",40.51939650944913,-3.653474469137685,Madrid,2418,Bar
5,Bar El Pincho,40.480941064565314,-3.6482323740448495,Madrid,3052,Spanish Restaurant
6,Sushi&Bar,40.50536390486263,-3.6742204907892173,Madrid,445,Chinese Restaurant
7,Dala's Cervecería Bar,40.469887673276844,-3.6864907402155267,Madrid,3831,Bar
8,Bar Welcome,40.488635,-3.669062,Madrid,1520,Bar
9,Bar Gago III,40.465466173153885,-3.691736161708832,Madrid,4453,Spanish Restaurant
10,Conejitas Play Boy Striptease Bar,40.507230747478616,-3.667837333869649,Madrid,617,Strip Club
11,Vivaki Bar,40.4980422334517,-3.6699963253383077,Madrid,472,Office
12,Eurostars Lobby Bar,40.476684257384065,-3.6873858392030416,Madrid,3164,Winery
13,Higi's Bar,40.508187,-3.669117,Madrid,682,Bar
14,Bar,40.429014364706056,-3.6851366173838027,Madrid,8237,Bar
15,Bar Alloco,40.45926463794577,-3.6733786007821068,Madrid,4786,Tapas Restaurant
16,Bar Sube y Baja,40.54229800393129,-3.6372994846471935,Alcobendas,5293,Café
17,Bar Yohana,40.46340566666667,-3.646501066666667,Madrid,4791,Café
18,Think Bar,40.508058345869664,-3.6747144703012062,Madrid,723,Nightclub
19,La Barrica,40.49517690141745,-3.6586639419562554,Madrid,1303,Bar
20,Sky Bar,40.41331592745147,-3.700472439784997,Madrid,10207,Roof Deck
21,Bar Periso,40.43609875691514,-3.6528754864038655,Madrid,7518,Spanish Restaurant
22,Bar Los Torreznos,40.44138722012731,-3.6975332557983007,Madrid,7135,Bar
23,Bar y Restaurante Payger,40.543759779192925,-3.632054328918457,Alcobendas,5676,Restaurant
24,Marisquería Bar Rafa,40.45905351609362,-3.6602811558049373,Madrid,4889,Seafood Restaurant
25,Naif Sandwich & Bar,40.42430407136737,-3.7019229620773473,Madrid,9061,Sandwich Place
26,Bar Arpegio,40.44670089356288,-3.6772076505349935,Madrid,6202,Bar
27,Klimt Gin Club Premium Bar,40.46131823831048,-3.6918670041174746,Madrid,4884,Cocktail Bar
28,La Ponderosa Bar,40.482120024794625,-3.717547222554889,Madrid,4533,Brewery
29,Bar El Narizotas,40.434500952280345,-3.71703279565823,Madrid,8487,Tapas Restaurant
30,Bar Cruz De Mayo II,40.440572,-3.697181,Madrid,7212,Bar
31,Restaurante Bar Hawaii,40.47439544568333,-3.718402837899678,Madrid,5071,Spanish Restaurant
32,Bar Rubi,40.43502133949173,-3.680762949571264,Madrid,7526,Hotel Bar
33,Bar Los Ángeles,40.43636940863364,-3.676386011121402,Madrid,7344,Bar
34,Bar J. Vidal,40.436558,-3.71632,Madrid,8256,Coffee Shop
35,Bar Ruval,40.44033372697905,-3.6498326432661536,Madrid,7117,Spanish Restaurant
36,Bar Fuente de la Rosaleda,40.411766287985124,-3.6799344420433044,Madrid,10097,Brewery
37,Tapas  Bar,40.45104383573553,-3.6915566385306384,Madrid,5957,Spanish Restaurant
38,El Botero Café Bar Restaurante,40.4453539938394,-3.6351715837793286,Madrid,7018,Café
39,Shi Sushi Bar,40.453425,-3.703453,Madrid,6088,Spanish Restaurant
40,Bar La Tienda,40.43403928054576,-3.714736920415537,Madrid,8446,Bar
41,Bar Restaurante El Retorno,40.43528768153389,-3.657985468389717,Madrid,7531,Japanese Restaurant
42,Bar-Cervecería Ponzano,40.43762002108963,-3.6993648562504315,Madrid,7582,Restaurant
43,Bar Madroño Restaurante,40.40761433486923,-3.700466957139174,Madrid,10823,Tapas Restaurant
44,Bar Lemar,40.42131071441751,-3.6688623481237173,Madrid,9008,Mediterranean Restaurant
45,Bar La Rosaleda,40.43055920492006,-3.7213986304768634,Madrid,9048,Bar
